10,100,360,29
20,400,1520,132
30,900,3480,322
40,1600,6240,599
50,2500,9800,956
60,3600,14160,1429
70,4900,19320,1998
80,6400,25280,2596
90,8100,32040,3364
100,10000,39600,4416
